Index Name,Date,Open,High,Low,Close
NIFTY 50,17-Oct-24,25027.4,25029.5,24728.9,24749.85
NIFTY 50,18-Oct-24,24664.95,24886.2,24567.65,24854.05
NIFTY 50,21-Oct-24,24956.15,24978.3,24679.6,24781.1
NIFTY 50,22-Oct-24,24798.65,24882,24445.8,24472.1
NIFTY 50,23-Oct-24,24378.15,24604.25,24378.1,24435.5
NIFTY 50,24-Oct-24,24412.7,24480.65,24341.2,24399.4
NIFTY 50,25-Oct-24,24418.05,24440.25,24073.9,24180.8
NIFTY 50,28-Oct-24,24251.1,24492.6,24134.9,24339.15
NIFTY 50,29-Oct-24,24328.85,24484.5,24140.85,24466.85
NIFTY 50,30-Oct-24,24371.45,24498.2,24307.3,24340.85
NIFTY 50,31-Oct-24,24349.85,24372.45,24172.6,24205.35
NIFTY 50,01-Nov-24,24302.75,24368.25,24280.2,24304.35
NIFTY 50,04-Nov-24,24315.75,24316.75,23816.15,23995.35
NIFTY 50,05-Nov-24,23916.5,24229.05,23842.75,24213.3
NIFTY 50,06-Nov-24,24308.75,24537.6,24204.05,24484.05
NIFTY 50,07-Nov-24,24489.6,24503.35,24179.05,24199.35
NIFTY 50,08-Nov-24,24207.7,24276.15,24066.65,24148.2
NIFTY 50,11-Nov-24,24087.25,24336.8,24004.6,24141.3
NIFTY 50,12-Nov-24,24225.8,24242,23839.15,23883.45
NIFTY 50,13-Nov-24,23822.45,23873.6,23509.6,23559.05
NIFTY 50,14-Nov-24,23542.15,23675.9,23484.15,23532.7
NIFTY 50,18-Nov-24,23605.3,23606.8,23350.4,23453.8
NIFTY 50,19-Nov-24,23529.55,23780.65,23464.8,23518.5
NIFTY 50,21-Nov-24,23488.45,23507.3,23263.15,23349.9
NIFTY 50,22-Nov-24,23411.8,23956.1,23359,23907.25
NIFTY 50,25-Nov-24,24253.55,24351.55,24135.45,24221.9
NIFTY 50,26-Nov-24,24343.3,24343.3,24125.4,24194.5
NIFTY 50,27-Nov-24,24204.8,24354.55,24145.65,24274.9
NIFTY 50,28-Nov-24,24274.15,24345.75,23873.35,23914.15
NIFTY 50,29-Nov-24,23927.15,24188.45,23927.15,24131.1
NIFTY 50,02-Dec-24,24140.85,24301.7,24008.65,24276.05
NIFTY 50,03-Dec-24,24367.5,24481.35,24280,24457.15
NIFTY 50,04-Dec-24,24488.75,24573.2,24366.3,24467.45
NIFTY 50,05-Dec-24,24539.15,24857.75,24295.55,24708.4
NIFTY 50,06-Dec-24,24729.45,24751.05,24620.5,24677.8
NIFTY 50,09-Dec-24,24633.9,24705,24580.05,24619
NIFTY 50,10-Dec-24,24652.65,24677.8,24510.65,24610.05
NIFTY 50,11-Dec-24,24620.5,24691.75,24583.85,24641.8
NIFTY 50,12-Dec-24,24604.45,24675.25,24527.95,24548.7
NIFTY 50,13-Dec-24,24498.35,24792.3,24180.8,24768.3
NIFTY 50,16-Dec-24,24753.4,24781.25,24601.75,24668.25
NIFTY 50,17-Dec-24,24584.8,24624.1,24303.45,24336
NIFTY 50,18-Dec-24,24297.95,24394.45,24149.85,24198.85
NIFTY 50,19-Dec-24,23877.15,24004.9,23870.3,23951.7
NIFTY 50,20-Dec-24,23960.7,24065.8,23537.35,23587.5
NIFTY 50,23-Dec-24,23738.2,23869.55,23647.2,23753.45
NIFTY 50,24-Dec-24,23769.1,23867.65,23685.15,23727.65
NIFTY 50,26-Dec-24,23775.8,23854.5,23653.6,23750.2
NIFTY 50,27-Dec-24,23801.4,23938.85,23800.6,23813.4
NIFTY 50,30-Dec-24,23796.9,23915.35,23599.3,23644.9
NIFTY 50,31-Dec-24,23560.6,23689.85,23460.45,23644.8
NIFTY 50,01-Jan-25,23637.65,23822.8,23562.8,23742.9
NIFTY 50,02-Jan-25,23783,24226.7,23751.55,24188.65
NIFTY 50,03-Jan-25,24196.4,24196.45,23976,24004.75
NIFTY 50,06-Jan-25,24045.8,24089.95,23551.9,23616.05
NIFTY 50,07-Jan-25,23679.9,23795.2,23637.8,23707.9
NIFTY 50,08-Jan-25,23746.65,23751.85,23496.15,23688.95
NIFTY 50,09-Jan-25,23674.75,23689.5,23503.05,23526.5
NIFTY 50,10-Jan-25,23551.9,23596.6,23344.35,23431.5
NIFTY 50,13-Jan-25,23195.4,23340.95,23047.25,23085.95
NIFTY 50,14-Jan-25,23165.9,23264.95,23134.15,23176.05
NIFTY 50,15-Jan-25,23250.45,23293.65,23146.45,23213.2
NIFTY 50,16-Jan-25,23377.25,23391.65,23272.05,23311.8
NIFTY 50,17-Jan-25,23277.1,23292.1,23100.35,23203.2
NIFTY 50,20-Jan-25,23290.4,23391.1,23170.65,23344.75
NIFTY 50,21-Jan-25,23421.65,23426.3,22976.85,23024.65
NIFTY 50,22-Jan-25,23099.15,23169.55,22981.3,23155.35
NIFTY 50,23-Jan-25,23128.3,23270.8,23090.65,23205.35
NIFTY 50,24-Jan-25,23183.9,23347.3,23050,23092.2
NIFTY 50,27-Jan-25,22940.15,23007.45,22786.9,22829.15
NIFTY 50,28-Jan-25,22960.45,23137.95,22857.65,22957.25
NIFTY 50,29-Jan-25,23026.75,23183.35,22976.5,23163.1
NIFTY 50,30-Jan-25,23169.5,23322.05,23139.2,23249.5
NIFTY 50,31-Jan-25,23296.75,23546.8,23277.4,23508.4
NIFTY 50,01-Feb-25,23528.6,23632.45,23318.3,23482.15
